Model,MSO64B
Channel,CH2,,Channel,CH3
Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG
Digital Type,None,,Digital Type,None
Horizontal Units,s,,Horizontal Units,s
Sample Interval,1.00000000e-11,,Sample Interval,1.00000000e-11
Record Length,1000,,Record Length,1000
Zero Index,499.56250000,,Zero Index,499.56250000
Vertical Units,V,,Vertical Units,V
,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,
interpFactor,4,,interpFactor,4
realDataStartIndex,1,,realDataStartIndex,1
yOffset,0.000000,,yOffset,0.000000
yPosition,0.000000,,yPosition,0.000000

Labels,,
TIME,CH2,CH3
-4.99562500e-09,2.90984375e-01,2.57296875e-01
-4.98562500e-09,2.91531250e-01,2.57328125e-01
-4.97562500e-09,2.91734375e-01,2.56750000e-01
-4.96562500e-09,2.91390625e-01,2.55875000e-01
-4.95562500e-09,2.92687500e-01,2.54984375e-01
-4.94562500e-09,2.93468750e-01,2.54046875e-01
-4.93562500e-09,2.93984375e-01,2.52812500e-01
-4.92562500e-09,2.93968750e-01,2.51718750e-01
-4.91562500e-09,2.95593750e-01,2.51031250e-01
-4.90562500e-09,2.96625000e-01,2.50750000e-01
-4.89562500e-09,2.97218750e-01,2.50609375e-01
-4.88562500e-09,2.97109375e-01,2.50968750e-01
-4.87562500e-09,2.98375000e-01,2.51890625e-01
-4.86562500e-09,2.98781250e-01,2.53218750e-01
-4.85562500e-09,2.98562500e-01,2.54453125e-01
-4.84562500e-09,2.97453125e-01,2.55703125e-01
-4.83562500e-09,2.97593750e-01,2.56718750e-01
-4.82562500e-09,2.96906250e-01,2.57109375e-01
-4.81562500e-09,2.95703125e-01,2.56281250e-01
-4.80562500e-09,2.93859375e-01,2.54140625e-01
-4.79562500e-09,2.93421875e-01,2.50468750e-01
-4.78562500e-09,2.92531250e-01,2.44921875e-01
-4.77562500e-09,2.91500000e-01,2.37140625e-01
-4.76562500e-09,2.90203125e-01,2.27234375e-01
-4.75562500e-09,2.90375000e-01,2.15390625e-01
-4.74562500e-09,2.90328125e-01,2.01546875e-01
-4.73562500e-09,2.90218750e-01,1.85828125e-01
-4.72562500e-09,2.89859375e-01,1.68640625e-01
-4.71562500e-09,2.90640625e-01,1.50453125e-01
-4.70562500e-09,2.91140625e-01,1.31453125e-01
-4.69562500e-09,2.91328125e-01,1.11890625e-01
-4.68562500e-09,2.91171875e-01,9.21406250e-02
-4.67562500e-09,2.91781250e-01,7.26562500e-02
-4.66562500e-09,2.92125000e-01,5.34062500e-02
-4.65562500e-09,2.92093750e-01,3.45000000e-02
-4.64562500e-09,2.91843750e-01,1.60468750e-02
-4.63562500e-09,2.92328125e-01,-1.71875000e-03
-4.62562500e-09,2.92796875e-01,-1.90468750e-02
-4.61562500e-09,2.93062500e-01,-3.59062500e-02
-4.60562500e-09,2.93328125e-01,-5.23593750e-02
-4.59562500e-09,2.94328125e-01,-6.81250000e-02
-4.58562500e-09,2.95437500e-01,-8.34687500e-02
-4.57562500e-09,2.96296875e-01,-9.81875000e-02
-4.56562500e-09,2.97109375e-01,-1.12281250e-01
-4.55562500e-09,2.98359375e-01,-1.25390625e-01
-4.54562500e-09,2.99531250e-01,-1.37718750e-01
-4.53562500e-09,3.00203125e-01,-1.48906250e-01
-4.52562500e-09,3.00593750e-01,-1.59062500e-01
-4.51562500e-09,3.01125000e-01,-1.67906250e-01
-4.50562500e-09,3.01484375e-01,-1.75718750e-01
-4.49562500e-09,3.01250000e-01,-1.82281250e-01
-4.48562500e-09,3.00812500e-01,-1.87937500e-01
-4.47562500e-09,3.00562500e-01,-1.92515625e-01
-4.46562500e-09,3.00328125e-01,-1.96468750e-01
-4.45562500e-09,2.99734375e-01,-1.99671875e-01
-4.44562500e-09,2.99187500e-01,-2.02562500e-01
-4.43562500e-09,2.99000000e-01,-2.04906250e-01
-4.42562500e-09,2.99015625e-01,-2.07140625e-01
-4.41562500e-09,2.98812500e-01,-2.08968750e-01
-4.40562500e-09,2.98718750e-01,-2.10781250e-01
-4.39562500e-09,2.98968750e-01,-2.12109375e-01
-4.38562500e-09,2.99406250e-01,-2.13343750e-01
-4.37562500e-09,2.99578125e-01,-2.14015625e-01
-4.36562500e-09,2.99859375e-01,-2.14515625e-01
-4.35562500e-09,3.00468750e-01,-2.14375000e-01
-4.34562500e-09,3.01281250e-01,-2.14015625e-01
-4.33562500e-09,3.01890625e-01,-2.13046875e-01
-4.32562500e-09,3.02687500e-01,-2.12000000e-01
-4.31562500e-09,3.03875000e-01,-2.10562500e-01
-4.30562500e-09,3.05250000e-01,-2.09187500e-01
-4.29562500e-09,3.06359375e-01,-2.07578125e-01
-4.28562500e-09,3.07421875e-01,-2.06359375e-01
-4.27562500e-09,3.08453125e-01,-2.05187500e-01
-4.26562500e-09,3.09031250e-01,-2.04437500e-01
-4.25562500e-09,3.08546875e-01,-2.03718750e-01
-4.24562500e-09,3.06984375e-01,-2.03531250e-01
-4.23562500e-09,3.04250000e-01,-2.03437500e-01
-4.22562500e-09,2.99781250e-01,-2.03671875e-01
-4.21562500e-09,2.93046875e-01,-2.03687500e-01
-4.20562500e-09,2.84062500e-01,-2.03968750e-01
-4.19562500e-09,2.72937500e-01,-2.04062500e-01
-4.18562500e-09,2.59390625e-01,-2.04125000e-01
-4.17562500e-09,2.43281250e-01,-2.03734375e-01
-4.16562500e-09,2.25000000e-01,-2.03375000e-01
-4.15562500e-09,2.05078125e-01,-2.02750000e-01
-4.14562500e-09,1.83593750e-01,-2.02031250e-01
-4.13562500e-09,1.60828125e-01,-2.00921875e-01
-4.12562500e-09,1.37375000e-01,-1.99812500e-01
-4.11562500e-09,1.13968750e-01,-1.98656250e-01
-4.10562500e-09,9.06875000e-02,-1.97406250e-01
-4.09562500e-09,6.78906250e-02,-1.95859375e-01
-4.08562500e-09,4.58906250e-02,-1.94265625e-01
-4.07562500e-09,2.52812500e-02,-1.92750000e-01
-4.06562500e-09,5.81250000e-03,-1.91078125e-01
-4.05562500e-09,-1.24062500e-02,-1.89125000e-01
-4.04562500e-09,-2.94375000e-02,-1.87031250e-01
-4.03562500e-09,-4.49375000e-02,-1.85281250e-01
-4.02562500e-09,-5.94687500e-02,-1.83437500e-01
-4.01562500e-09,-7.30000000e-02,-1.81515625e-01
-4.00562500e-09,-8.58125000e-02,-1.79656250e-01
-3.99562500e-09,-9.75312500e-02,-1.78640625e-01
-3.98562500e-09,-1.08765625e-01,-1.77796875e-01
-3.97562500e-09,-1.19328125e-01,-1.77187500e-01
-3.96562500e-09,-1.29484375e-01,-1.76781250e-01
-3.95562500e-09,-1.38750000e-01,-1.77531250e-01
-3.94562500e-09,-1.47656250e-01,-1.78359375e-01
-3.93562500e-09,-1.55875000e-01,-1.79265625e-01
-3.92562500e-09,-1.63687500e-01,-1.79984375e-01
-3.91562500e-09,-1.70562500e-01,-1.81562500e-01
-3.90562500e-09,-1.77031250e-01,-1.82625000e-01
-3.89562500e-09,-1.82750000e-01,-1.83156250e-01
-3.88562500e-09,-1.88109375e-01,-1.82875000e-01
-3.87562500e-09,-1.92546875e-01,-1.83046875e-01
-3.86562500e-09,-1.96671875e-01,-1.82265625e-01
-3.85562500e-09,-2.00125000e-01,-1.80718750e-01
-3.84562500e-09,-2.03359375e-01,-1.78234375e-01
-3.83562500e-09,-2.05781250e-01,-1.76437500e-01
-3.82562500e-09,-2.08000000e-01,-1.73921875e-01
-3.81562500e-09,-2.09593750e-01,-1.71062500e-01
-3.80562500e-09,-2.11046875e-01,-1.67750000e-01
-3.79562500e-09,-2.11765625e-01,-1.65718750e-01
-3.78562500e-09,-2.12328125e-01,-1.63468750e-01
-3.77562500e-09,-2.12296875e-01,-1.61375000e-01
-3.76562500e-09,-2.12234375e-01,-1.59187500e-01
-3.75562500e-09,-2.11593750e-01,-1.58656250e-01
-3.74562500e-09,-2.10953125e-01,-1.58078125e-01
-3.73562500e-09,-2.09906250e-01,-1.57750000e-01
-3.72562500e-09,-2.09062500e-01,-1.57390625e-01
-3.71562500e-09,-2.07953125e-01,-1.58656250e-01
-3.70562500e-09,-2.07078125e-01,-1.59843750e-01
-3.69562500e-09,-2.06000000e-01,-1.61218750e-01
-3.68562500e-09,-2.05328125e-01,-1.62500000e-01
-3.67562500e-09,-2.04515625e-01,-1.65375000e-01
-3.66562500e-09,-2.03968750e-01,-1.68109375e-01
-3.65562500e-09,-2.03203125e-01,-1.70937500e-01
-3.64562500e-09,-2.02718750e-01,-1.73562500e-01
-3.63562500e-09,-2.02015625e-01,-1.77578125e-01
-3.62562500e-09,-2.01359375e-01,-1.81156250e-01
-3.61562500e-09,-2.00328125e-01,-1.84484375e-01
-3.60562500e-09,-1.99375000e-01,-1.87093750e-01
-3.59562500e-09,-1.98125000e-01,-1.90578125e-01
-3.58562500e-09,-1.96796875e-01,-1.93015625e-01
-3.57562500e-09,-1.95093750e-01,-1.94609375e-01
-3.56562500e-09,-1.93468750e-01,-1.94953125e-01
-3.55562500e-09,-1.91687500e-01,-1.95734375e-01
-3.54562500e-09,-1.89890625e-01,-1.95203125e-01
-3.53562500e-09,-1.87890625e-01,-1.93687500e-01
-3.52562500e-09,-1.86000000e-01,-1.91046875e-01
-3.51562500e-09,-1.84250000e-01,-1.89171875e-01
-3.50562500e-09,-1.82562500e-01,-1.86500000e-01
-3.49562500e-09,-1.80781250e-01,-1.83515625e-01
-3.48562500e-09,-1.79062500e-01,-1.80156250e-01
-3.47562500e-09,-1.77828125e-01,-1.78375000e-01
-3.46562500e-09,-1.76640625e-01,-1.76593750e-01
-3.45562500e-09,-1.75453125e-01,-1.75156250e-01
-3.44562500e-09,-1.74343750e-01,-1.73890625e-01
-3.43562500e-09,-1.74000000e-01,-1.74578125e-01
-3.42562500e-09,-1.73734375e-01,-1.75406250e-01
-3.41562500e-09,-1.73531250e-01,-1.76531250e-01
-3.40562500e-09,-1.73343750e-01,-1.77593750e-01
-3.39562500e-09,-1.74093750e-01,-1.80265625e-01
-3.38562500e-09,-1.74718750e-01,-1.82593750e-01
-3.37562500e-09,-1.75218750e-01,-1.84718750e-01
-3.36562500e-09,-1.75406250e-01,-1.86312500e-01
-3.35562500e-09,-1.76312500e-01,-1.89093750e-01
-3.34562500e-09,-1.76640625e-01,-1.91234375e-01
-3.33562500e-09,-1.76437500e-01,-1.93031250e-01
-3.32562500e-09,-1.75453125e-01,-1.94250000e-01
-3.31562500e-09,-1.74984375e-01,-1.96781250e-01
-3.30562500e-09,-1.73687500e-01,-1.98906250e-01
-3.29562500e-09,-1.71781250e-01,-2.00968750e-01
-3.28562500e-09,-1.69109375e-01,-2.02781250e-01
-3.27562500e-09,-1.67281250e-01,-2.06281250e-01
-3.26562500e-09,-1.64953125e-01,-2.09609375e-01
-3.25562500e-09,-1.62484375e-01,-2.13078125e-01
-3.24562500e-09,-1.59796875e-01,-2.16390625e-01
-3.23562500e-09,-1.58562500e-01,-2.21343750e-01
-3.22562500e-09,-1.57343750e-01,-2.26000000e-01
-3.21562500e-09,-1.56453125e-01,-2.30515625e-01
-3.20562500e-09,-1.55671875e-01,-2.34531250e-01
-3.19562500e-09,-1.56656250e-01,-2.39828125e-01
-3.18562500e-09,-1.57750000e-01,-2.44421875e-01
-3.17562500e-09,-1.59156250e-01,-2.48437500e-01
-3.16562500e-09,-1.60578125e-01,-2.51609375e-01
-3.15562500e-09,-1.63625000e-01,-2.55734375e-01
-3.14562500e-09,-1.66578125e-01,-2.58937500e-01
-3.13562500e-09,-1.69609375e-01,-2.61390625e-01
-3.12562500e-09,-1.72453125e-01,-2.62921875e-01
-3.11562500e-09,-1.76750000e-01,-2.65421875e-01
-3.10562500e-09,-1.80734375e-01,-2.67031250e-01
-3.09562500e-09,-1.84640625e-01,-2.68015625e-01
-3.08562500e-09,-1.88140625e-01,-2.68218750e-01
-3.07562500e-09,-1.92875000e-01,-2.69578125e-01
-3.06562500e-09,-1.97015625e-01,-2.70250000e-01
-3.05562500e-09,-2.00718750e-01,-2.70515625e-01
-3.04562500e-09,-2.03609375e-01,-2.70203125e-01
-3.03562500e-09,-2.07312500e-01,-2.71265625e-01
-3.02562500e-09,-2.09937500e-01,-2.71843750e-01
-3.01562500e-09,-2.11703125e-01,-2.72218750e-01
-3.00562500e-09,-2.12250000e-01,-2.72187500e-01
-2.99562500e-09,-2.13343750e-01,-2.73765625e-01
-2.98562500e-09,-2.13203125e-01,-2.75015625e-01
-2.97562500e-09,-2.12187500e-01,-2.76203125e-01
-2.96562500e-09,-2.10140625e-01,-2.77109375e-01
-2.95562500e-09,-2.08937500e-01,-2.79750000e-01
-2.94562500e-09,-2.06984375e-01,-2.82125000e-01
-2.93562500e-09,-2.04687500e-01,-2.84421875e-01
-2.92562500e-09,-2.01953125e-01,-2.86437500e-01
-2.91562500e-09,-2.00687500e-01,-2.90109375e-01
-2.90562500e-09,-1.99218750e-01,-2.93406250e-01
-2.89562500e-09,-1.97859375e-01,-2.96437500e-01
-2.88562500e-09,-1.96453125e-01,-2.99015625e-01
-2.87562500e-09,-1.96765625e-01,-3.03046875e-01
-2.86562500e-09,-1.97000000e-01,-3.06468750e-01
-2.85562500e-09,-1.97390625e-01,-3.09375000e-01
-2.84562500e-09,-1.97640625e-01,-3.11609375e-01
-2.83562500e-09,-1.99531250e-01,-3.15093750e-01
-2.82562500e-09,-2.01171875e-01,-3.17796875e-01
-2.81562500e-09,-2.02796875e-01,-3.19843750e-01
-2.80562500e-09,-2.04109375e-01,-3.21078125e-01
-2.79562500e-09,-2.06906250e-01,-3.23515625e-01
-2.78562500e-09,-2.09296875e-01,-3.25125000e-01
-2.77562500e-09,-2.11531250e-01,-3.26093750e-01
-2.76562500e-09,-2.13296875e-01,-3.26312500e-01
-2.75562500e-09,-2.16390625e-01,-3.27828125e-01
-2.74562500e-09,-2.18890625e-01,-3.28640625e-01
-2.73562500e-09,-2.21031250e-01,-3.28953125e-01
-2.72562500e-09,-2.22500000e-01,-3.28703125e-01
-2.71562500e-09,-2.25156250e-01,-3.29968750e-01
-2.70562500e-09,-2.27078125e-01,-3.30750000e-01
-2.69562500e-09,-2.28531250e-01,-3.31265625e-01
-2.68562500e-09,-2.29312500e-01,-3.31406250e-01
-2.67562500e-09,-2.31359375e-01,-3.33281250e-01
-2.66562500e-09,-2.32859375e-01,-3.34828125e-01
-2.65562500e-09,-2.34093750e-01,-3.36234375e-01
-2.64562500e-09,-2.34937500e-01,-3.37343750e-01
-2.63562500e-09,-2.37390625e-01,-3.40250000e-01
-2.62562500e-09,-2.39546875e-01,-3.42796875e-01
-2.61562500e-09,-2.41671875e-01,-3.45109375e-01
-2.60562500e-09,-2.43562500e-01,-3.46984375e-01
-2.59562500e-09,-2.47109375e-01,-3.50484375e-01
-2.58562500e-09,-2.50296875e-01,-3.53406250e-01
-2.57562500e-09,-2.53281250e-01,-3.55859375e-01
-2.56562500e-09,-2.55750000e-01,-3.57593750e-01
-2.55562500e-09,-2.59562500e-01,-3.60781250e-01
-2.54562500e-09,-2.62671875e-01,-3.63125000e-01
-2.53562500e-09,-2.65250000e-01,-3.64812500e-01
-2.52562500e-09,-2.67062500e-01,-3.65609375e-01
-2.51562500e-09,-2.70062500e-01,-3.67765625e-01
-2.50562500e-09,-2.72281250e-01,-3.69000000e-01
-2.49562500e-09,-2.74078125e-01,-3.69500000e-01
-2.48562500e-09,-2.75234375e-01,-3.69109375e-01
-2.47562500e-09,-2.77875000e-01,-3.70093750e-01
-2.46562500e-09,-2.80031250e-01,-3.70218750e-01
-2.45562500e-09,-2.82000000e-01,-3.69671875e-01
-2.44562500e-09,-2.83578125e-01,-3.68328125e-01
-2.43562500e-09,-2.86812500e-01,-3.68484375e-01
-2.42562500e-09,-2.89593750e-01,-3.67953125e-01
-2.41562500e-09,-2.92093750e-01,-3.66921875e-01
-2.40562500e-09,-2.94015625e-01,-3.65312500e-01
-2.39562500e-09,-2.97390625e-01,-3.65437500e-01
-2.38562500e-09,-3.00015625e-01,-3.65093750e-01
-2.37562500e-09,-3.02062500e-01,-3.64500000e-01
-2.36562500e-09,-3.03265625e-01,-3.63562500e-01
-2.35562500e-09,-3.05796875e-01,-3.64546875e-01
-2.34562500e-09,-3.07531250e-01,-3.65218750e-01
-2.33562500e-09,-3.08734375e-01,-3.65765625e-01
-2.32562500e-09,-3.09296875e-01,-3.66015625e-01
-2.31562500e-09,-3.11453125e-01,-3.68171875e-01
-2.30562500e-09,-3.13140625e-01,-3.69968750e-01
-2.29562500e-09,-3.14625000e-01,-3.71500000e-01
-2.28562500e-09,-3.15781250e-01,-3.72593750e-01
-2.27562500e-09,-3.18750000e-01,-3.75359375e-01
-2.26562500e-09,-3.21375000e-01,-3.77578125e-01
-2.25562500e-09,-3.23812500e-01,-3.79328125e-01
-2.24562500e-09,-3.25781250e-01,-3.80453125e-01
-2.23562500e-09,-3.29343750e-01,-3.83093750e-01
-2.22562500e-09,-3.32265625e-01,-3.85046875e-01
-2.21562500e-09,-3.34640625e-01,-3.86437500e-01
-2.20562500e-09,-3.36234375e-01,-3.87109375e-01
-2.19562500e-09,-3.39125000e-01,-3.89265625e-01
-2.18562500e-09,-3.41187500e-01,-3.90687500e-01
-2.17562500e-09,-3.42593750e-01,-3.91468750e-01
-2.16562500e-09,-3.43234375e-01,-3.91484375e-01
-2.15562500e-09,-3.45343750e-01,-3.92906250e-01
-2.14562500e-09,-3.46812500e-01,-3.93515625e-01
-2.13562500e-09,-3.47937500e-01,-3.93406250e-01
-2.12562500e-09,-3.48609375e-01,-3.92453125e-01
-2.11562500e-09,-3.51078125e-01,-3.92875000e-01
-2.10562500e-09,-3.53187500e-01,-3.92500000e-01
-2.09562500e-09,-3.55125000e-01,-3.91468750e-01
-2.08562500e-09,-3.56718750e-01,-3.89718750e-01
-2.07562500e-09,-3.60171875e-01,-3.89500000e-01
-2.06562500e-09,-3.63187500e-01,-3.88718750e-01
-2.05562500e-09,-3.65906250e-01,-3.87531250e-01
-2.04562500e-09,-3.68093750e-01,-3.85875000e-01
-2.03562500e-09,-3.71937500e-01,-3.85968750e-01
-2.02562500e-09,-3.75125000e-01,-3.85640625e-01
-2.01562500e-09,-3.77765625e-01,-3.85015625e-01
-2.00562500e-09,-3.79656250e-01,-3.83921875e-01
-1.99562500e-09,-3.83000000e-01,-3.84453125e-01
-1.98562500e-09,-3.85468750e-01,-3.84406250e-01
-1.97562500e-09,-3.87187500e-01,-3.83796875e-01
-1.96562500e-09,-3.87984375e-01,-3.82453125e-01
-1.95562500e-09,-3.90031250e-01,-3.82453125e-01
-1.94562500e-09,-3.91062500e-01,-3.81656250e-01
-1.93562500e-09,-3.91203125e-01,-3.80187500e-01
-1.92562500e-09,-3.90328125e-01,-3.77968750e-01
-1.91562500e-09,-3.90656250e-01,-3.77187500e-01
-1.90562500e-09,-3.90015625e-01,-3.75828125e-01
-1.89562500e-09,-3.88640625e-01,-3.74109375e-01
-1.88562500e-09,-3.86484375e-01,-3.72000000e-01
-1.87562500e-09,-3.85890625e-01,-3.71718750e-01
-1.86562500e-09,-3.84796875e-01,-3.71203125e-01
-1.85562500e-09,-3.83468750e-01,-3.70562500e-01
-1.84562500e-09,-3.81890625e-01,-3.69656250e-01
-1.83562500e-09,-3.82421875e-01,-3.70546875e-01
-1.82562500e-09,-3.82906250e-01,-3.70984375e-01
-1.81562500e-09,-3.83484375e-01,-3.70921875e-01
-1.80562500e-09,-3.84031250e-01,-3.70093750e-01
-1.79562500e-09,-3.86671875e-01,-3.70484375e-01
-1.78562500e-09,-3.89093750e-01,-3.69796875e-01
-1.77562500e-09,-3.91265625e-01,-3.68062500e-01
-1.76562500e-09,-3.92890625e-01,-3.65062500e-01
-1.75562500e-09,-3.96046875e-01,-3.62937500e-01
-1.74562500e-09,-3.98359375e-01,-3.59546875e-01
-1.73562500e-09,-3.99812500e-01,-3.55156250e-01
-1.72562500e-09,-4.00250000e-01,-3.49734375e-01
-1.71562500e-09,-4.01828125e-01,-3.45531250e-01
-1.70562500e-09,-4.02375000e-01,-3.40578125e-01
-1.69562500e-09,-4.02078125e-01,-3.35234375e-01
-1.68562500e-09,-4.00953125e-01,-3.29453125e-01
-1.67562500e-09,-4.01281250e-01,-3.25484375e-01
-1.66562500e-09,-4.01031250e-01,-3.21312500e-01
-1.65562500e-09,-4.00390625e-01,-3.17171875e-01
-1.64562500e-09,-3.99359375e-01,-3.12890625e-01
-1.63562500e-09,-4.00140625e-01,-3.10609375e-01
-1.62562500e-09,-4.00578125e-01,-3.08156250e-01
-1.61562500e-09,-4.00734375e-01,-3.05687500e-01
-1.60562500e-09,-4.00421875e-01,-3.02937500e-01
-1.59562500e-09,-4.01765625e-01,-3.02000000e-01
-1.58562500e-09,-4.02500000e-01,-3.00671875e-01
-1.57562500e-09,-4.02593750e-01,-2.99156250e-01
-1.56562500e-09,-4.01953125e-01,-2.97156250e-01
-1.55562500e-09,-4.02703125e-01,-2.96828125e-01
-1.54562500e-09,-4.02703125e-01,-2.95984375e-01
-1.53562500e-09,-4.02078125e-01,-2.94843750e-01
-1.52562500e-09,-4.00812500e-01,-2.93156250e-01
-1.51562500e-09,-4.01203125e-01,-2.93062500e-01
-1.50562500e-09,-4.01125000e-01,-2.92390625e-01
-1.49562500e-09,-4.00796875e-01,-2.91328125e-01
-1.48562500e-09,-4.00125000e-01,-2.89593750e-01
