X: (s),Y: (Hits)
-8.27559e-12,0
-8.2109e-12,0
-8.14621e-12,0
-8.08151e-12,0
-8.01682e-12,0
-7.95212e-12,0
-7.88743e-12,0
-7.82274e-12,0
-7.75804e-12,0
-7.69335e-12,0
-7.62866e-12,0
-7.56396e-12,0
-7.49927e-12,0
-7.43457e-12,0
-7.36988e-12,0
-7.30519e-12,0
-7.24049e-12,0
-7.1758e-12,2
-7.1111e-12,2
-7.04641e-12,0
-6.98172e-12,1
-6.91702e-12,2
-6.85233e-12,3
-6.78764e-12,2
-6.72294e-12,2
-6.65825e-12,2
-6.59355e-12,3
-6.52886e-12,8
-6.46417e-12,9
-6.39947e-12,20
-6.33478e-12,26
-6.27008e-12,26
-6.20539e-12,28
-6.1407e-12,40
-6.076e-12,51
-6.01131e-12,42
-5.94662e-12,55
-5.88192e-12,95
-5.81723e-12,107
-5.75253e-12,125
-5.68784e-12,143
-5.62315e-12,214
-5.55845e-12,228
-5.49376e-12,309
-5.42906e-12,360
-5.36437e-12,465
-5.29968e-12,555
-5.23498e-12,619
-5.17029e-12,838
-5.1056e-12,1042
-5.0409e-12,1229
-4.97621e-12,1534
-4.91151e-12,1803
-4.84682e-12,2244
-4.78213e-12,2596
-4.71743e-12,3253
-4.65274e-12,3890
-4.58804e-12,4619
-4.52335e-12,5486
-4.45866e-12,6527
-4.39396e-12,7913
-4.32927e-12,9315
-4.26458e-12,10883
-4.19988e-12,12684
-4.13519e-12,15187
-4.07049e-12,17682
-4.0058e-12,20614
-3.94111e-12,24451
-3.87641e-12,28895
-3.81172e-12,32919
-3.74703e-12,38151
-3.68233e-12,44295
-3.61764e-12,51067
-3.55294e-12,58929
-3.48825e-12,67904
-3.42356e-12,78070
-3.35886e-12,89031
-3.29417e-12,101813
-3.22947e-12,116501
-3.16478e-12,132640
-3.10009e-12,149600
-3.03539e-12,169790
-2.9707e-12,190755
-2.90601e-12,215638
-2.84131e-12,242089
-2.77662e-12,270940
-2.71192e-12,302704
-2.64723e-12,336868
-2.58254e-12,375086
-2.51784e-12,415692
-2.45315e-12,460577
-2.38845e-12,507428
-2.32376e-12,559260
-2.25907e-12,612707
-2.19437e-12,672083
-2.12968e-12,737107
-2.06499e-12,800695
-2.00029e-12,871126
-1.9356e-12,946793
-1.8709e-12,1.02434e+06
-1.80621e-12,1.10337e+06
-1.74152e-12,1.18568e+06
-1.67682e-12,1.27903e+06
-1.61213e-12,1.36599e+06
-1.54743e-12,1.46027e+06
-1.48274e-12,1.55424e+06
-1.41805e-12,1.65166e+06
-1.35335e-12,1.75128e+06
-1.28866e-12,1.85043e+06
-1.22397e-12,1.94874e+06
-1.15927e-12,2.0491e+06
-1.09458e-12,2.152e+06
-1.02988e-12,2.25245e+06
-9.6519e-13,2.34507e+06
-9.00496e-13,2.43859e+06
-8.35803e-13,2.534e+06
-7.71109e-13,2.61985e+06
-7.06415e-13,2.70114e+06
-6.41721e-13,2.77792e+06
-5.77027e-13,2.8533e+06
-5.12334e-13,2.91484e+06
-4.4764e-13,2.97703e+06
-3.82946e-13,3.0301e+06
-3.18252e-13,3.0717e+06
-2.53558e-13,3.10909e+06
-1.88864e-13,3.1423e+06
-1.24171e-13,3.15763e+06
-5.94767e-14,3.17103e+06
5.21715e-15,3.17242e+06
6.9911e-14,3.16485e+06
1.34605e-13,3.15485e+06
1.99299e-13,3.12631e+06
2.63992e-13,3.095e+06
3.28686e-13,3.05453e+06
3.9338e-13,3.00241e+06
4.58074e-13,2.95204e+06
5.22768e-13,2.88931e+06
5.87462e-13,2.8215e+06
6.52155e-13,2.74688e+06
7.16849e-13,2.66729e+06
7.81543e-13,2.58534e+06
8.46237e-13,2.49406e+06
9.10931e-13,2.40252e+06
9.75625e-13,2.31009e+06
1.04032e-12,2.21185e+06
1.10501e-12,2.11987e+06
1.16971e-12,2.01728e+06
1.2344e-12,1.92104e+06
1.29909e-12,1.82056e+06
1.36379e-12,1.72655e+06
1.42848e-12,1.62802e+06
1.49318e-12,1.5318e+06
1.55787e-12,1.4409e+06
1.62256e-12,1.34855e+06
1.68726e-12,1.26291e+06
1.75195e-12,1.1766e+06
1.81664e-12,1.09331e+06
1.88134e-12,1.01456e+06
1.94603e-12,939999
2.01073e-12,867236
2.07542e-12,799600
2.14011e-12,734378
2.20481e-12,671092
2.2695e-12,614785
2.3342e-12,559921
2.39889e-12,508979
2.46358e-12,461101
2.52828e-12,417592
2.59297e-12,375297
2.65766e-12,337957
2.72236e-12,302703
2.78705e-12,271207
2.85175e-12,241249
2.91644e-12,213713
2.98113e-12,189429
3.04583e-12,166960
3.11052e-12,147414
