X: (s),Y: (Hits)
-6.64883e-12,0
-6.59432e-12,0
-6.53981e-12,0
-6.4853e-12,0
-6.43079e-12,0
-6.37628e-12,0
-6.32177e-12,0
-6.26725e-12,0
-6.21274e-12,0
-6.15823e-12,0
-6.10372e-12,0
-6.04921e-12,0
-5.9947e-12,0
-5.94019e-12,1
-5.88568e-12,1
-5.83117e-12,2
-5.77666e-12,0
-5.72215e-12,0
-5.66764e-12,0
-5.61313e-12,2
-5.55862e-12,4
-5.50411e-12,0
-5.4496e-12,2
-5.39509e-12,6
-5.34058e-12,4
-5.28607e-12,6
-5.23156e-12,5
-5.17705e-12,6
-5.12254e-12,11
-5.06803e-12,14
-5.01352e-12,20
-4.95901e-12,16
-4.90449e-12,25
-4.84998e-12,28
-4.79547e-12,23
-4.74096e-12,34
-4.68645e-12,41
-4.63194e-12,60
-4.57743e-12,51
-4.52292e-12,65
-4.46841e-12,95
-4.4139e-12,93
-4.35939e-12,89
-4.30488e-12,130
-4.25037e-12,134
-4.19586e-12,177
-4.14135e-12,194
-4.08684e-12,237
-4.03233e-12,301
-3.97782e-12,356
-3.92331e-12,428
-3.8688e-12,513
-3.81429e-12,610
-3.75978e-12,787
-3.70527e-12,989
-3.65076e-12,1240
-3.59625e-12,1492
-3.54174e-12,1839
-3.48722e-12,2334
-3.43271e-12,2989
-3.3782e-12,3619
-3.32369e-12,4582
-3.26918e-12,5713
-3.21467e-12,7065
-3.16016e-12,8789
-3.10565e-12,10848
-3.05114e-12,13461
-2.99663e-12,16431
-2.94212e-12,20085
-2.88761e-12,24327
-2.8331e-12,29562
-2.77859e-12,35640
-2.72408e-12,43221
-2.66957e-12,51688
-2.61506e-12,61708
-2.56055e-12,72539
-2.50604e-12,85410
-2.45153e-12,99951
-2.39702e-12,117075
-2.34251e-12,136175
-2.288e-12,157731
-2.23349e-12,181247
-2.17898e-12,208401
-2.12446e-12,238136
-2.06995e-12,271649
-2.01544e-12,305839
-1.96093e-12,346125
-1.90642e-12,388500
-1.85191e-12,433918
-1.7974e-12,482652
-1.74289e-12,536433
-1.68838e-12,591179
-1.63387e-12,651088
-1.57936e-12,712144
-1.52485e-12,777771
-1.47034e-12,846527
-1.41583e-12,915683
-1.36132e-12,986873
-1.30681e-12,1.06071e+06
-1.2523e-12,1.13766e+06
-1.19779e-12,1.21511e+06
-1.14328e-12,1.29297e+06
-1.08877e-12,1.37376e+06
-1.03426e-12,1.45288e+06
-9.79747e-13,1.53269e+06
-9.25236e-13,1.61393e+06
-8.70726e-13,1.69378e+06
-8.16215e-13,1.77076e+06
-7.61705e-13,1.84968e+06
-7.07195e-13,1.92758e+06
-6.52684e-13,2.00223e+06
-5.98174e-13,2.07442e+06
-5.43663e-13,2.14875e+06
-4.89153e-13,2.21763e+06
-4.34643e-13,2.28689e+06
-3.80132e-13,2.35176e+06
-3.25622e-13,2.41136e+06
-2.71111e-13,2.46558e+06
-2.16601e-13,2.51756e+06
-1.62091e-13,2.56109e+06
-1.0758e-13,2.60233e+06
-5.30699e-14,2.63203e+06
1.44047e-15,2.66086e+06
5.59509e-14,2.67948e+06
1.10461e-13,2.68869e+06
1.64972e-13,2.69155e+06
2.19482e-13,2.68283e+06
2.73992e-13,2.66101e+06
3.28503e-13,2.63823e+06
3.83013e-13,2.6022e+06
4.37524e-13,2.55298e+06
4.92034e-13,2.49654e+06
5.46544e-13,2.43542e+06
6.01055e-13,2.36388e+06
6.55565e-13,2.28505e+06
7.10076e-13,2.19961e+06
7.64586e-13,2.10934e+06
8.19096e-13,2.01613e+06
8.73607e-13,1.91452e+06
9.28117e-13,1.81368e+06
9.82628e-13,1.71108e+06
1.03714e-12,1.60771e+06
1.09165e-12,1.50123e+06
1.14616e-12,1.39574e+06
1.20067e-12,1.29184e+06
1.25518e-12,1.19326e+06
1.30969e-12,1.09541e+06
1.3642e-12,999384
1.41871e-12,912336
1.47322e-12,826272
1.52773e-12,744903
1.58224e-12,668042
1.63675e-12,598148
1.69126e-12,532415
1.74577e-12,471901
1.80028e-12,415844
1.85479e-12,365846
1.9093e-12,319185
1.96381e-12,277428
2.01832e-12,238560
2.07284e-12,205018
2.12735e-12,176382
2.18186e-12,150581
2.23637e-12,127204
2.29088e-12,106989
2.34539e-12,89676
2.3999e-12,74358
2.45441e-12,62291
2.50892e-12,51140
2.56343e-12,41673
2.61794e-12,33940
2.67245e-12,27492
2.72696e-12,22032
2.78147e-12,17886
2.83598e-12,14091
2.89049e-12,11059
2.945e-12,8753
2.99951e-12,6978
3.05402e-12,5377
3.10853e-12,4250
3.16304e-12,3321
3.21755e-12,2538
3.27206e-12,1984
3.32657e-12,1494
3.38108e-12,1232
3.4356e-12,968
3.49011e-12,746
3.54462e-12,599
3.59913e-12,441
3.65364e-12,408
3.70815e-12,322
3.76266e-12,264
3.81717e-12,233
3.87168e-12,187
3.92619e-12,177
3.9807e-12,134
4.03521e-12,123
4.08972e-12,109
4.14423e-12,87
4.19874e-12,78
4.25325e-12,67
4.30776e-12,56
4.36227e-12,50
4.41678e-12,49
4.47129e-12,38
4.5258e-12,35
4.58031e-12,32
4.63482e-12,19
4.68933e-12,23
4.74384e-12,11
4.79835e-12,16
4.85287e-12,7
4.90738e-12,12
4.96189e-12,5
5.0164e-12,12
5.07091e-12,3
5.12542e-12,9
5.17993e-12,4
5.23444e-12,5
5.28895e-12,6
5.34346e-12,0
5.39797e-12,4
5.45248e-12,1
5.50699e-12,2
5.5615e-12,0
5.61601e-12,1
5.67052e-12,1
